grant_id,title,year,first_author
BB/H008217/1,Brain aging differs with cognitive ability regardless of education.,2022,Walhovd KB
EP/I033335/1,A mechanical property evaluation of graded density Al-Si10-Mg lattice structures manufactured by selective laser melting,2016,Maskery I
AH/M005917/1,"Evidential Proximity, Independence, and the evaluation of carcinogenicity.",2019,Williamson J
EP/P027067/1,A Chiral Cyclometalated Iridium Star of David [2]Catenane.,2021,August DP
NE/M004600/1,Influence of particle viscosity on mass transfer and heterogeneous ozonolysis kinetics in aqueous-sucrose-maleic acid aerosol.,2018,Marshall FH
EP/S032622/1,Thermo-economic assessment and systematic comparison of combined supercritical CO2 and organic Rankine cycle (SCO2-ORC) systems for solar power tower plants,2024,Fan G
EP/P024807/1,Creating 3D Objects with Integrated Electronics via Multiphoton Fabrication In Vitro and In Vivo,2023,Baldock S
EP/S030263/1,Quantifying Spin-Mixed States in Ferromagnets.,2021,Shaw JM
EP/K008102/2,The origin of size-selective gas transport through polymers of intrinsic microporosity,2019,Fuoco A
EP/M022188/1,Electronic band structure of ReS 2 by high-resolution angle-resolved photoemission spectroscopy,2017,Webb J
NE/K010948/1,Relative strength of the Antarctic Circumpolar Current and Atlantic Meridional Overturning Circulation,2017,Marshall D
EP/R005877/1,Time reversibility of the discrete element method,2020,Hanley K
NE/S013814/1,Neighbourhood-scale dispersion of traffic-induced ultrafine particles in central London: WRF large eddy simulations.,2020,Zhong J
EP/F023057/1,Investigating intrinsic connectivity networks using simultaneous BOLD and CBF measurements.,2014,Mayhew SD
NE/N017854/1,Tree size and climatic water deficit control root to shoot ratio in individual trees globally.,2018,Ledo A
NE/K001760/1,Shelf Sea Biogeochemistry: Nutrient and carbon cycling in a temperate shelf sea water column,2019,Sharples J
EP/K029592/1,Degradation and Characterization of Resorbable Phosphate-Based Glass Thin-Film Coatings Applied by Radio-Frequency Magnetron Sputtering.,2015,Stuart BW
MC_UU_12011/4,Placental Inositol Reduced in Gestational Diabetes as Glucose Alters Inositol Transporters and IMPA1 Enzyme Expression.,2021,Pillai RA
ES/N000382/1,"Epigenetic gestational age acceleration: a prospective cohort study investigating associations with familial, sociodemographic and birth characteristics",2018,Khouja J
NE/G007748/1,"Potential for use of heat rejected from industry in district heating networks, GB perspective",2016,Cooper S
MR/R005176/1,Systematic underestimation of the epigenetic clock and age acceleration in older subjects,2019,El Khoury L
ST/R000476/1,Euclid : Calibrating photometric redshifts with spectroscopic cross-correlations,2023,Naidoo K
BB/R002428/1,ERFVII action and modulation through oxygen-sensing in Arabidopsis thaliana.,2023,Zubrycka A
BB/S002081/1,Phosphoproteomic analysis reveals plant DNA damage signalling pathways with a functional role for histone H2AX phosphorylation in plant growth under genotoxic stress.,2019,Waterworth WM
NE/R016445/1,Rapid Electron Acceleration in Low-Density Regions of Saturn's Radiation Belt by Whistler Mode Chorus Waves.,2019,Woodfield EE
BB/S009787/1,Two Distinct Thermodynamic Gradients for Cellular Metalation of Vitamin B12.,2023,Young TR
ES/S016058/1,Gendered employment patterns: Women's labour market outcomes across 24 countries,2023,Kowalewska H
BB/G020744/1,Mycoplasma hyopneumoniae evades phagocytic uptake by porcine alveolar macrophages in vitro.,2019,Deeney AS
EP/R032777/1,"A review of reference architectures for digital manufacturing: Classification, applicability and open issues",2023,Kaiser J
EP/G007713/1,Angular scattering of light by a homogeneous spherical particle in a zeroth-order Bessel beam and its relationship to plane wave scattering.,2015,Preston TC
MR/R025746/1,Meeting sustainable development goals via robotics and autonomous systems.,2022,Guenat S
EP/N014529/1,Patterns of co-occurrent skills in UK job adverts,2025,Liu Z
EP/K002643/1,Going the extra green mile: When others' actions fall short of their responsibility,2015,Buchanan K
1926376,Evaluating Auroral Forecasts Against Satellite Observations,2021,Mooney M
ST/T000198/1,SN&nbsp;2019hcc: a Type II supernova displaying early O ii lines,2021,Parrag E
EP/K017160/1,"Contact doping, Klein tunneling, and asymmetry of shot noise in suspended graphene",2016,Laitinen A
EP/P018998/1,Integrating microfluidics and biosensing on a single flexible acoustic device using hybrid modes,2020,Tao R
ES/K002457/1,What do associations and dissociations between face and object recognition abilities tell us about the domain-generality of face processing?,2018,Eimer M
EP/W017091/1,Stable operating windows for polythiophene organic electrochemical transistors,2023,Keene S
EP/V055593/1,Cross-correlated relaxation in the NMR of near-equivalent spin pairs: Longitudinal relaxation and long-lived singlet order.,2024,Whipham JW
EP/R004900/1,Structured machine learning tools for modelling characteristics of guided waves,2021,Haywood-Alexander M
ST/M001040/1,"X-ray, UV, and optical time delays in the bright Seyfert galaxy Ark 120 with co-ordinated Swift and ground-based observations",2020,Lobban A
BB/T007907/1,Sex-specific resilience of neocortex to food restriction,2024,Padamsey Z
EP/J020184/1,Robust mesoporous bimetallic yolk-shell catalysts for chemical CO 2 upgrading via dry reforming of methane,2018,Price C
EP/L020335/1,Theory of intersubband resonance fluorescence,2015,Shammah N
EP/R024642/2,Multi-State Memristors and Their Applications: An Overview,2022,Wang C
EP/P013341/1,Photooxidation of Fulvenes in a Continuous Flow Photoreactor using Carbon Dioxide as a Solvent,2018,Wu L
BB/W00349X/1,Considerations for defining +80 Da mass shifts in mass spectrometry-based proteomics: phosphorylation and beyond.,2023,Daly LA
EP/M013294/1,Nonlinear Lensing in an Unpumped Antiresonant Semiconductor Disk Laser Gain Structure,2016,Shaw E
EP/K034480/1,Spin Entanglement Witness for Quantum Gravity.,2017,Bose S
EP/E028640/1,Fully hardware based WFQ architecture for high-speed QoS packet scheduling,2012,McLaughlin K
EP/M015378/1,A Photoresponsive Stiff-Stilbene Ligand Fuels the Reversible Unfolding of G-Quadruplex DNA.,2019,O'Hagan MP
NE/W009889/1,Developing expert scientific consensus on the environmental and societal effects of marine artificial structures prior to decommissioning.,2024,Knights AM
BB/N007700/1,Modular supramolecular dimerization of optically tunable extended aryl viologens.,2019,Olesinska M
NE/S006745/1,The transferability of adjoint inversion products between different ice flow models,2021,Barnes J
EP/S019901/1,Small-Molecule Pol? Inhibitors Provide Safe and Effective Tumor Radiosensitization in Preclinical Models.,2023,Rodriguez-Berriguete G
MR/W006391/1,Supramolecular ferroelectric nematic materials,2022,Mandle R
EP/J017361/1,Lone-Pair Stabilization in Transparent Amorphous Tin Oxides: A Potential Route to p-Type Conduction Pathways,2016,Wahila M
EP/R003122/1,Bioinspired heat exchangers based on triply periodic minimal surfaces for supercritical CO2 cycles,2020,Li W
NE/S000348/1,High-throughput characterization of bacterial responses to complex mixtures of chemical pollutants.,2024,Smith TP
EP/R02572X/1,Saturated Output-Feedback Hybrid Reinforcement Learning Controller for Submersible Vehicles Guaranteeing Output Constraints,2021,Elhaki O
EP/K038311/1,Beyond mean-field bistability in driven-dissipative lattices: Bunching-antibunching transition and quantum simulation,2016,Mendoza-Arenas J
NE/J006513/1,Boundary processes and neodymium cycling along the Pacific margin of West Antarctica,2022,Wang R
EP/W034093/1,Calcium sources can increase mechanical properties of 3D printed bioactive hybrid bone scaffolds.,2024,Heyraud A
EP/W013053/1,Integral expressions for derivations of multiarrangements,2024,Feigin M
NE/H008136/1,"Investigating a two-component model of solid fuel organic aerosol in London: processes, PM&amp;lt;sub&amp;gt;1&amp;lt;/sub&amp;gt; contributions, and seasonality",2015,Young D
BBS/E/W/0012843C,Animal board invited review: Grassland-based livestock farming and biodiversity,2022,Fraser M
ES/R000166/1,Higher education and research: multiple negative effects and no new opportunities after Brexit,2023,Highman L
NE/R000425/1,Influence of oxygen on electronic correlation and transport in iron in the Earth's outer core,2025,Blesio G
EP/P00993X/1,A Deep Learning Framework for Automatic Meal Detection and Estimation in Artificial Pancreas Systems,2022,Daniels J
BB/L024055/1,ISA API: An open platform for interoperable life science experimental metadata.,2021,Johnson D
EP/V001302/1,Terahertz Emission via Optical Rectification in a Metal-Free Perovskite Crystal.,2023,Gallop NP
ST/R00045X/1,Formulating bulk viscosity for neutron star simulations,2022,Celora T
EP/I013229/1,A review of non-precious metal single atom confined nanomaterials in different structural dimensions (1D-3D) as highly active oxygen redox reaction electrocatalysts,2020,Liu J
EP/M020835/1,A novel feature extraction method of eddy current testing for defect detection based on machine learning,2019,Yin L
EP/S013113/1,A 3-D Printed $E$ -Plane Waveguide Magic-T Using Air-Filled Coax-to-Waveguide Transitions,2019,Guo C
EP/J01768X/2,Minority carrier lifetime in indium doped silicon for photovoltaics,2019,Murphy J
EP/K003836/1,Validation of a constitutive law for friction-induced vibration under different wear conditions,2018,Cabboi A
MR/S010343/1,"Mechanotransducive surfaces for enhanced cell osteogenesis, a review.",2024,Cuahtecontzi Delint R
BB/H005978/1,Gro/TLE enables embryonic stem cell differentiation by repressing pluripotent gene expression.,2015,Laing AF
MC_UU_12017/10,"Are Changes in Neighbourhood Perceptions Associated with Changes in Self-Rated Mental Health in Adults? A 13-Year Repeat Cross-Sectional Study, UK",2017,Olsen J
EP/M015548/1,Loewy lengths of blocks with abelian defect groups,2017,Eaton C
EP/K039547/1,Modelling Conformational Flexibility in a Spectrally Addressable Molecular Multi-Qubit Model System,2022,Rogers C
ST/I006285/1,Comparing Short Gamma-Ray Burst Jet Structure Models,2020,Hayes F
EP/G012156/1,Mechanochemical preparation of Ag catalysts for the n-octane-SCR de-NOx reaction: Structural and reactivity effects,2015,Ralphs K
EP/P001386/1,Uranyl-tri- bis(silyl)amide Alkali Metal Contact and Separated Ion Pair Complexes.,2018,Cobb PJ
EP/M01391X/1,Influence of grid resolution on the spectral characteristics of noise radiated from turbulent jets: Sound pressure fields and their decomposition,2020,Angelino M
EP/K016342/1,A General One-Step Synthesis of Alkanethiyl-Stabilized Gold Nanoparticles with Control over Core Size and Monolayer Functionality.,2023,Borsley S
ST/L005743/1,Neutron-unbound states in Ne 31,2021,Chrisman D
EP/L024160/1,Disulfide-Based Diblock Copolymer Worm Gels: A Wholly-Synthetic Thermoreversible 3D Matrix for Sheet-Based Cultures.,2015,Simon KA
MR/N026969/1,Reliability of resting-state functional connectivity in the human spinal cord: Assessing the impact of distinct noise sources.,2023,Kaptan M
EP/M019691/1,Quantum Slow Relaxation and Metastability due to Dynamical Constraints,2018,Lan Z
EP/R00661X/1,Sliding speed influence on the tribo-corrosion behaviour of Ti6Al4V alloy in simulated body fluid,2021,Namus R
EP/K038400/1,Predicting vapor liquid equilibria using density functional theory: A case study of argon.,2018,Goel H
NE/W003317/1,SMILE Winter Campaign,2024,Walach M
MR/L003791/1,Exciting Times: New Advances Towards Understanding the Regulation and Roles of Kainate Receptors.,2019,Evans AJ
BB/N01541X/1,Miro1 - the missing link to peroxisome motility.,2018,Castro IG
ST/V001027/1,^{133}In: A Rosetta Stone for Decays of r-Process Nuclei.,2023,Xu ZY
MR/S025618/1,Building the Glucagon-Like Peptide-1 Receptor Brick by Brick: Revisiting a 1993 Diabetes Classic by Thorens et&nbsp;al.,2024,Thorens B
EP/J001023/1,Active gas replenishment and sensing of the wetting state in a submerged superhydrophobic surface.,2017,Lloyd BP
EP/S000631/1,Rapid single-photon color imaging of moving objects.,2023,Yao D
EP/J015180/1,Spatially Distributed MIMO Sonar Systems: Principles and Capabilities,2017,Pailhas Y
EP/L017709/1,Laser sintering and patterning of gallium-doped zinc oxide/indium-tin oxide nanoparticle films with tailorable electrical and optical properties,2020,Wang J
EP/M015637/1,Non-minimal state-space polynomial form of the Kalman filter for a general noise model,2018,Wilson E
EP/K023373/1,ZnO-based thin film transistors employing aluminum titanate gate dielectrics deposited by spray pyrolysis at ambient air.,2015,Afouxenidis D
EP/K022512/1,Exchange fluctuation theorem for correlated quantum systems.,2015,Jevtic S
EP/M507192/1,A Robust Optimization Approach for Demand Side Scheduling Considering Uncertainty of Manually Operated Appliances,2018,Du Y
NE/E014283/1,Exploring the influence of loading geometry on the plastic flow properties of geological materials: Results from combined torsion&nbsp;+&nbsp;axial compression tests on calcite rocks,2016,Covey-Crump S
EP/K026631/1,Numerical simulation of the long-term behaviour of a self-healing concrete beam vs standard reinforced concrete,2015,Hazelwood T
EP/N024303/1,Operando Evaluation of Selectivity and Transference Number of Lithium-Conductive Membranes,2019,Meddings N
BB/N018575/1,Cellular Patterning of Arabidopsis Roots Under Low Phosphate Conditions.,2018,Janes G
ST/J005673/1,New constraints on the free-streaming of warm dark matter from intermediate and small scale Lyman- a forest data,2017,Iršic V
ST/K00333X/1,Electromagnetic transition strengths for light nuclei in the Skyrme model,2016,Haberichter M
NE/R010536/1,Negative available potential energy dissipation as the fundamental criterion for double diffusive instabilities,2024,Tailleux R
EP/W037300/1,Alloying and Doping Control in the Layered Metal Phosphide Thermoelectric CaCuP.,2024,Quinn RJ
EP/I011927/1,A fast spectral method for the Boltzmann equation for monatomic gas mixtures,2015,Wu L
EP/V009419/1,Directional modulation design for multi-beam multiplexing based on hybrid antenna array structures,2023,Li M
MC_PC_17217,"Association between APOE e4 and white matter hyperintensity volume, but not total brain volume or white matter integrity.",2020,Lyall DM
MR/L006588/1,Managing outbreaks of highly contagious diseases in prisons: a systematic review.,2020,Beaudry G
EP/V006746/1,Velocity map images from surface-hopping; reactive scattering of OH (2S+) + H2 (1S+g).,2022,Robertson C
BB/T009152/1,2-Aminoethylphosphonate utilization in Pseudomonas putida BIRD-1 is controlled by multiple master regulators.,2022,Murphy ARJ
EP/L021978/2,Annealing multicomponent supramolecular gels.,2019,Fuentes-Caparrós AM
MR/R005370/1,Active Acquisition for multimodal neuroimaging,2018,Cole J
EP/T031425/1,Synthesis and Characterization of Co(II) Substituted Keggin-Type Polyoxometalates as Novel Catalysts for the Hydroformylation of 1-Hexene in a Thermomorphic Solvent System,2024,Raabe J
ES/S004440/1,Online songwriting reduces loneliness and postnatal depression and enhances social connectedness in women with young babies: randomised controlled trial,2023,Perkins R
EP/R006768/1,Considering discrepancy when calibrating a mechanistic electrophysiology model,2020,Lei C
NE/P014127/1,Global Mangrove Extent Change 1996-2020: Global Mangrove Watch Version 3.0,2022,Bunting P
EP/M006255/1,Eye Movement Latency Coefficient of Variation as a Predictor of Cognitive Impairment: An Eye Tracking Study of Cognitive Impairment.,2023,Polden M
MC_UU_00004/01,Testing alternative schedules of adjuvant immune checkpoint blockers - The need for well-designed clinical trials,2023,Bouche G
EP/T026693/1,Advanced quantitative evaluation of PET systems using the ACR phantom and NiftyPET software.,2022,Markiewicz PJ
EP/J018171/1,Chirality in gravitational and electromagnetic interactions with matter,2018,Tucker R
BB/J009091/1,De novo production of the plant-derived alkaloid strictosidine in yeast.,2015,Brown S
ST/P00055X/1,Phase transitions and light scalars in bottom-up holography,2023,Elander D
MR/P009417/1,RBMS1 Suppresses Colon Cancer Metastasis through Targeted Stabilization of Its mRNA Regulon.,2020,Yu J
MR/S03580X/1,"Using Arts-Based Methodologies to Understand Adolescent and Youth Manifestations, Representations, and Potential Causes of Depression and Anxiety in Low-Income Urban Settings in Peru.",2022,Hidalgo-Padilla L
EP/K038648/1,Towards an environmentally and economically sustainable biorefinery: heavy metal contaminated waste wood as a low-cost feedstock in a low-cost ionic liquid process,2020,Gschwend F
EP/N020057/2,"Instrumentation for high-dose, high-resolution dosimetry for microbeam radiation therapy using samarium-doped fluoroaluminate and fluorophosphate glass plates",2020,Chicilo F
EP/J012912/1,Divacancy superstructures in thermoelectric calcium-doped sodium cobaltate,2014,Porter D
MC_PC_20058,OpenSAFELY: Measuring BMI in 22 million patients in England,2024,Park R
EP/N010329/1,"Reliable, Resilient and Sustainable Urban Drainage Systems: An Analysis of Robustness under Deep Uncertainty.",2018,Casal-Campos A
EP/V030515/1,The Role of Chlorine in the Formation and Development of Tap Water Biofilms under Different Flow Regimes.,2023,Tsagkari E
EP/X018962/1,Learning to bag with a simulation-free reinforcement learning framework for robots,2024,Munguia-Galeano F
EP/S014403/1,Optically trapped room temperature polariton condensate in an organic semiconductor.,2022,Wei M
BB/M021610/1,Discovery of Membrane-Bound Pyrophosphatase Inhibitors Derived from an Isoxazole Fragment.,2020,Johansson NG
EP/R004935/1,Variational Autoencoder Assisted Neural Network Likelihood RSRP Prediction Model,2022,Li P
ST/R002754/1,Non-active site mutations in the HIV protease: Diminished drug binding affinity is achieved through modulating the hydrophobic sliding mechanism.,2022,Sherry D
EP/Y008707/1,Co-intercalation strategy for simultaneously boosting two-electron conversion and bulk stabilization of Mn-based cathodes in aqueous zinc-ion batteries,2024,Gao X
EP/N011511/1,Dissolved nutrient gas uptake and fluid mixing by bubble-mediated mass transfer in tall fermenters - A theoretical study,2024,Chaffin S
EP/I032533/1,Adaptive filters and internal models: multilevel description of cerebellar function.,2013,Porrill J
ST/P002307/1,Next-to-next-to-leading order QCD corrections to W b b &macr; production at the LHC,2022,Hartanto H
ST/P000673/1,Stochastic inflation in general relativity,2024,Launay Y
BB/P009506/1,The initiation of mammalian embryonic transcription: to begin at the beginning.,2023,Perry ACF
ST/J004421/1,Non-linear shrinkage estimation of large-scale structure covariance,2017,Joachimi B
NE/N015665/2,Toward a Global Classification of Coastal Anthromes,2017,Lazarus E
EP/N034228/1,The comparision of glybenclamide and metformin-loaded bacterial cellulose/gelatin nanofibres produced by a portable electrohydrodynamic gun for diabetic wound healing,2020,Cam M
ST/K000993/1,Quantifying the tangling of trajectories using the topological entropy,2017,Candelaresi S
EP/P01366X/1,Bio-Inspired Collision Avoidance in Swarm Systems via Deep Reinforcement Learning,2022,Na S
ST/P002307/1,Fast and energetic AGN-driven outflows in simulated dwarf galaxies,2019,Koudmani S
EP/T008059/1,Microstructural heterogeneity of the collagenous network in the loaded and unloaded periodontal ligament and its biomechanical implications.,2021,Zhong J
EP/M01326X/1,Chiral rotational spectroscopy,2016,Cameron R
NE/R016429/1,Modelling public health improvements as a result of air pollution control policies in the UK over four decades-1970 to 2010,2019,Carnell E
MR/M008614/2,Characterization of humoral and SARS-CoV-2 specific T cell responses in people living with HIV.,2021,Alrubayyi A
EP/M015130/1,Direct observation of an irradiance dependent nonlinear refraction in CVD single layer graphene,2021,Demetriou G
EP/R026084/1,Local and global trace plutonium contributions in fast breeder legacy soils.,2021,Tighe C
EP/G01597X/1,Combined optical connectivity and optical flow velocimetry measurement of interfacial velocity of a liquid jet in gas crossflow,2023,Wang T
EP/M014797/1,Copper-induced recrystallization and interdiffusion of CdTe/ZnTe thin films,2018,Samoilenko Y
EP/I001514/1,Change in organic molecule adhesion on a-alumina (sapphire) with change in NaCl and CaCl2 solution salinity.,2014,Juhl KM
EP/P006930/1,On-machine correction of form error for structured surfaces with anisotropic diffusion filter,2024,Wang M
BB/L027593/1,Machine Learning of Designed Translational Control Allows Predictive Pathway Optimization in Escherichia coli.,2019,Jervis AJ
NE/J011908/1,Different ways in which CO2 can be released during the turnover of roots in soil,2017,Marella V
AH/V012770/1,"DNACPR Decisions: Aligning Law, Guidance, and Practice.",2022,Michalowski S
NE/P004121/1,Approaches and methods to study wildlife cancer.,2024,Giraudeau M
EP/P030017/1,Surface-Bound Antibiotic for the Detection of ß-Lactamases.,2019,Miller LM
BB/R00398X/1,Fellowship of the rings: a saga of strigolactones and other small signals.,2020,Machin DC
ST/S000623/1,V1460&nbsp;Her: a fast spinning white dwarf accreting from an evolved donor star,2020,Ashley R
EP/P02081X/1,In-Depth Profiling of Calcite Precipitation by Environmental Bacteria Reveals Fundamental Mechanistic Differences with Relevance to Application.,2020,Reeksting BJ
ST/K00042X/1,A new mechanical stellar wind feedback model for the Rosette Nebula,2018,Wareing C
EP/T03064X/1,The covariant Stone-von Neumann theorem for locally compact quantum groups,2024,Hall L
EP/P034284/1,Toward Practical Quantum Secure Direct Communication: A Quantum-Memory-Free Protocol and Code Design,2020,Sun Z
EP/W020564/1,Co-Designing Accessible Computer and Smartphone Input Using Physical Computing,2024,Cossovich R
EP/P025757/1,Laser-patterned paper-based sensors for rapid point-of-care detection and antibiotic-resistance testing of bacterial infections.,2020,He PJW
BB/T000481/1,JaponicusDB: rapid deployment of a model organism database for an emerging model species.,2022,Rutherford KM
EP/R020922/1,A Machine Learning Approach for Detecting Unemployment Using the Smart Metering Infrastructure,2020,Montanez C
EP/N03371X/1,Time and cell-dependent effects of endocytosis inhibitors on the internalization of biomolecule markers and nanomaterials,2018,Sasso L
EP/N007921/1,Spatially and Reversibly Actuating Soft Gel Structure by Harnessing Multimode Elastic Instabilities.,2021,Liu Y
EP/K035274/1,Dinuclear Zinc Salen Catalysts for the Ring Opening Copolymerization of Epoxides and Carbon Dioxide or Anhydrides,2015,Thevenon A
BB/G007993/1,Gene promoter DNA methylation patterns have a limited role in orchestrating transcriptional changes in the fetal liver in response to maternal folate depletion during pregnancy.,2016,McKay JA
EP/X036782/1,Picosecond Dynamics of a Small Molecule in Its Bound State with an Intrinsically Disordered Protein,2024,Heller G
BB/M000265/1,"Micrometre and nanometre scale patterning of binary polymer brushes, supported lipid bilayers and proteins.",2017,Johnson A
EP/M020908/1,Fast interaction functions for bond-based peridynamics,2018,Miranda H
EP/J016918/1,Snapshot fiber spectral imaging using speckle correlations and compressive sensing.,2018,French R
NE/R012407/1,"Sub-Annual Calving Front Migration, Area Change and Calving Rates from Swath Mode CryoSat-2 Altimetry, on Filchner-Ronne Ice Shelf, Antarctica",2019,Wuite J
BB/L014092/1,A silk purse from a sow's ear-bioinspired materials based on a-helical coiled coils.,2015,Quinlan RA
EP/I019278/1,A novel dimethylformamide (DMF) free bar-cast method to deposit organolead perovskite thin films with improved stability.,2016,Jones EW
NE/I00520X/1,Using satellite and reanalysis data to evaluate the representation of latent heating in extratropical cyclones in a climate model,2016,Hawcroft M
EP/P004709/1,A small-scale solar organic Rankine cycle combined heat and power system with integrated thermal energy storage,2017,Freeman J
BB/P005594/1,Tolerance to nascent protein misfolding stress requires fine-tuning of the cAMP/PKA pathway.,2021,Kritsiligkou P
ST/F012012/1,Large Impact of the Decay of Niobium Isomers on the Reactor ? &macr; e Summation Calculations,2019,Guadilla V
NE/J011169/1,Contrasting patterns of insect herbivory and predation pressure across a tropical rainfall gradient,2017,Weissflog A
MR/K012770/1,Metformin prevents the effects of Pseudomonas aeruginosa on airway epithelial tight junctions and restricts hyperglycaemia-induced bacterial growth,2016,Patkee W
MR/N010477/1,Membrane Protein Structure Determination and Characterisation by Solution and Solid-State NMR.,2020,Yeh V
ST/M005569/1,The kinematics of the Scorpius-Centaurus OB association from Gaia DR1,2018,Wright N
ST/R002452/1,Unveiling dark matter free streaming at the smallest scales with the high redshift Lyman-alpha forest,2024,Iršic V
ST/P000592/1,Hydrodynamic turbulence in disks with embedded planets,2023,Ziampras A
EP/K039660/1,A medium-throughput approach for improved taxonomic identification of lipids preserved in ancient pottery,2024,Drieu L
MR/M018539/1,Redefining the perioperative stress response: a narrative review,2019,Manou-Stathopoulou V
BB/M001210/1,Asymmetries between achromatic and chromatic extraction of 3D motion signals,2019,Kaestner M
EP/I005420/1,Influence of proton-irradiation temperature on the damage accumulation in Ti3SiC2 and Ti3AlC2,2019,Ward J
EP/M015130/1,Dynamically tunable transmissive color filters using ultra-thin phase change materials.,2020,He Q
EP/P020194/1,Calculating shear viscosity with confined non-equilibrium molecular dynamics: a case study on hematite - PAO-2 lubricant.,2023,Mathas D
EP/T00097X/1,Temperature-tunable UV generation using an Alexandrite laser and PPLN waveguides,2023,Tawy G
ES/R011680/1,Beyond difficult pasts: Towards a fuller understanding of memory-making in tourism,2024,Pfoser A
MR/S034463/2,Sharp Bounds for the Number of Regions of Maxout Networks and Vertices of Minkowski Sums,2022,Montúfar G
BBS/E/C/000I0330,A rapid ammonium fluoride method to determine the oxygen isotope ratio of available phosphorus in tropical soils.,2020,Pfahler V
EP/P017169/1,An effective microscale approach for determining the anisotropy of polymer composites reinforced with randomly distributed short fibers,2020,Cai H
NE/N003918/1,"Questions about Tosepu et al. (2020) &quot;Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia&quot;.",2022,Schultz DM
NE/R004978/1,Orbital forcing of ice sheets during snowball Earth,2021,Mitchell R
NE/M015351/1,Within-field spatial variability of greenhouse gas fluxes from an extensive and intensive sheep-grazed pasture,2021,Charteris A
BB/M017702/1,"Analysing and Navigating Natural Products Space for Generating Small, Diverse, But Representative Chemical Libraries",2017,O'Hagan S
EP/P033253/1,Combining Pseudopotential and All Electron Density Functional Theory for the Efficient Calculation of Core Spectra Using a Multiresolution Approach.,2019,Ratcliff LE
ST/L00397X/1,The role of cooling induced by mixing in the mass and energy cycles of the solar atmosphere,2023,Hillier A
BB/W013959/1,MIBiG 3.0: a community-driven effort to annotate experimentally validated biosynthetic gene clusters.,2023,Terlouw BR
EP/K014854/1,Combined Experimental and Theoretical Study of the Competitive Absorption of CO2 and NO2 by a Superbase Ionic Liquid.,2021,Greer AJ
NE/N018028/1,"Stratospheric Response to the 11-Yr Solar Cycle: Breaking Planetary Waves, Internal Reflection, and Resonance",2017,Lu H
NE/T001518/1,An algorithm for U-Pb geochronology by secondary ion mass spectrometry,2022,Vermeesch P
EP/N024818/1,Formulation and additive manufacturing of polysaccharide-surfactant hybrid gels as gelatin analogues in food applications,2021,Fenton T
EP/N021177/1,Polydimethylsiloxane Composites for Optical Ultrasound Generation and Multimodality Imaging,2018,Noimark S
BB/M023117/1,Engaging new audiences with imaging and microscopy.,2021,Barresi MJ
MR/S01313X/1,Secondary data analysis using Evidence-Based Bayesian Networks with an application to investigate the determinants of childhood stunting,2024,Yet B
EP/K004956/1,Post-Synthetic Mannich Chemistry on Metal-Organic Frameworks: System-Specific Reactivity and Functionality-Triggered Dissolution.,2018,Amer Hamzah H
EP/M025330/1,Efficient Radiative Pumping of Polaritons in a Strongly Coupled Microcavity by a Fluorescent Molecular Dye,2016,Grant R
ST/L00075X/1,Setting the scene for BUFFALO: a study of the matter distribution in the HFF galaxy cluster MACS J0416.1-2403 and its parallel field,2020,Gonzalez E
BB/J021504/1,Muscle moment arms and sensitivity analysis of a mouse hindlimb musculoskeletal model.,2016,Charles JP
EP/R029148/1,Preparations for a European R&amp;D roadmap for an inertial fusion demo reactor.,2021,Norreys PA
NE/I022558/1,"Socio-hydrological modelling: a review asking &quot;why,&nbsp;what&nbsp;and&nbsp;how?&quot;",2016,Blair P
ST/K000950/1,Particle Acceleration in Collapsing Magnetic Traps with a Braking Plasma Jet,2016,Borissov A
EP/V025708/1,CODEC: Complex Document and Entity Collection,2022,Mackie I
ES/X007367/1,"Hope, Optimism, and Expectations for the Political Future",2025,Barnfield M
MR/N020413/1,Acyl carrier protein promotes MukBEF action in Escherichia coli chromosome organization-segregation.,2021,Prince JP
EP/M022064/1,From double-shelled grids to supramolecular frameworks.,2018,Wu J
EP/V052527/1,Quantifying the proportion of different cell types in the human cortex using DNA methylation profiles,2024,Hannon E
BB/P002579/1,A multidimensional systems biology analysis of cellular senescence in aging and disease.,2020,Avelar RA
EP/P034012/1,Experimental test of non-macrorealistic cat states in the cloud,2020,Ku H
EP/F016913/1,Comparison of multi-criteria decision-making methods for equipment selection,2015,Hodgett R
EP/R014604/1,Flexible Krylov Methods for $\ell_p$ Regularization,2019,Chung J
ST/P002293/1,Ringdown frequencies in black holes formed from precessing black-hole binaries,2023,Hamilton E
EP/H024204/1,Automating Event-B invariant proofs by rippling and proof patching,2019,Lin Y
EP/M014738/1,Comparison of ADCP observations and 3D model simulations of turbulence at a tidal energy site,2017,Togneri M
BB/N022157/1,Profiling Phospholipids within Atlantic Salmon Salmo salar with Regards to a Novel Terrestrial Omega-3 Oil Source.,2022,Broughton R
EP/V010514/1,Freestream Turbulence Effects on the Aerodynamics of an Oscillating Square Cylinder at the Resonant Frequency,2022,Chen Y
EP/L026872/1,Synthesis of ?-Oxo Amino Acids and trans -5-Substituted Proline Derivatives Using Cross-Metathesis of Unsaturated Amino Acids,2016,Salih N
ST/P000819/1,Quantum corrected equations of motion in the interior and exterior Schwarzschild spacetimes,2020,Calmet X
MR/L010666/1,Presynaptic accumulation of a-synuclein causes synaptopathy and progressive neurodegeneration in Drosophila.,2021,Bridi JC
